"","stems","completed"
"altogeth","altogeth","altogether"
"altright","altright","altright"
"alway","alway","always"
"amazon","amazon","amazon"
"ambigu","ambigu","ambiguous"
"amen","amen","amenable"
"american","american","american"
"among","among","among"
"amongst","amongst","amongst"
"amount","amount","amount"
"amplifi","amplifi",""
"analog","analog","analogs"
"analys","analys","analysis"
"analysi","analysi","analysis"
"analyst","analyst","analysts"
"analyt","analyt","analytical"
"analyz","analyz","analyze"
"angel","angel","angeles"
"annot","annot","annotation"
"announc","announc","announced"
"anoth","anoth","another"
"answer","answer","answer"
"ant","ant","anticipate"
"anticip","anticip","anticipate"
"api","api","api"
"appeal","appeal","appeals"
"appear","appear","appear"
"appli","appli","applications"
"applic","applic","applications"
"apportion","apportion","apportionment"
"apprehend","apprehend","apprehended"
"approach","approach","approach"
"appropri","appropri","appropriate"
"approv","approv","approval"
"approxim","approxim","approximation"
"arbit","arbit","arbitrary"
"arbitrari","arbitrari",""
"architectur","architectur","architectural"
"area","area","areas"
"argu","argu","argue"
"arguabl","arguabl","arguably"
"argument","argument","arguments"
"aris","aris","arise"
"around","around","around"
"array","array","array"
"arrest","arrest","arrested"
"arriv","arriv","arrive"
"art","art","artificial"
"articl","articl","article"
"articul","articul","articulate"
"artifact","artifact","artifact"
"artifici","artifici","artificial"
"ascrib","ascrib","ascribing"
"asid","asid","aside"
"ask","ask","asks"
"aspect","aspect","aspects"
"aspir","aspir","aspires"
"assess","assess","assessments"
"assign","assign","assign"
"assist","assist","assistance"
"associ","associ","associated"
"assum","assum","assumptions"
"assumpt","assumpt","assumptions"
"asymmetri","asymmetri",""
"atlant","atlant","atlantic"
"attack","attack","attacks"
"attempt","attempt","attempt"
"attend","attend","attending"
"attent","attent","attention"
"attitud","attitud","attitudes"
"attorney","attorney","attorneys"
"attract","attract","attracting"
"attribut","attribut","attributes"
"audienc","audienc","audience"
"audit","audit","audit"
"augment","augment","augmented"
"author","author","authorities"
"autoenrol","autoenrol","autoenrolled"
"autom","autom","automated"
"automaticallylearn","automaticallylearn","automaticallylearned"
"autonom","autonom","autonomous"
"autonomi","autonomi",""
"auxiliari","auxiliari",""
"avail","avail","available"
"avenu","avenu","avenues"
"averag","averag","average"
"avoid","avoid","avoid"
"awar","awar","awareness"
"axiom","axiom","axiomatization"
"axiomat","axiomat","axiomatization"
"back","back","back"
"backbon","backbon","backbone"
"background","background","background"
"bad","bad","bad"
"baidu","baidu","baidu"
"baik","baik","baike"
"bail","bail","bail"
"balanc","balanc","balancing"
"balancebas","balancebas","balancebased"
"bank","bank","banks"
"banzhaf","banzhaf","banzhaf"
"barrier","barrier","barriers"
"base","base","based"
"baselin","baselin","baselines"
"basi","basi","basis"
"basic","basic","basic"
"bayesian","bayesian","bayesian"
"bear","bear","bear"
"beat","beat","beating"
"becker","becker","becker"
"becom","becom","become"
"bed","bed","bed"
"bedrock","bedrock","bedrock"
"begin","begin","begin"
"begun","begun","begun"
"behav","behav","behavior"
"behavior","behavior","behavior"
"behaviour","behaviour","behaviour"
"behemoth","behemoth","behemoth"
"behind","behind","behind"
"beij","beij","beijing"
"believ","believ","believing"
"belong","belong","belonging"
"benchmark","benchmark","benchmark"
"benefic","benefic","beneficence"
"benefit","benefit","benefit"
"benevol","benevol","benevolence"
"bert","bert","bert"
"best","best","best"
"better","better","better"
"betweengroup","betweengroup","betweengroup"
"beygelzeim","beygelzeim","beygelzeimer"
"beyond","beyond","beyond"
"bias","bias","bias"
"biased","biased","biased"
"big","big","big"
"billion","billion","billion"
"binari","binari",""
"bioelectr","bioelectr","bioelectrical"
"biographi","biographi","biographies"
"bioimped","bioimped","bioimpedance"
"bioimpedancebas","bioimpedancebas","bioimpedancebased"
"biomark","biomark","biomarkers"
"biometr","biometr","biometrics"
"black","black","blacks"
"blackbox","blackbox","blackbox"
"blacklist","blacklist","blacklist"
"blendl","blendl","blendle"
"bleu","bleu","bleu"
"blind","blind","blind"
"block","block","blocked"
"blood","blood","blood"
"bodi","bodi","bodies"
"bona","bona","bona"
"boost","boost","boost"
"borrow","borrow","borrow"
"bot","bot","bots"
"bottom","bottom","bottom"
"bound","bound","boundary"
"boundari","boundari","boundaries"
"boven","boven","bovens"
"bovenss","bovenss","bovenss"
"box","box","box"
"bracket","bracket","bracketed"
"break","break","breaking"
"bridg","bridg","bridge"
"briefli","briefli",""
"bring","bring","bring"
"broad","broad","broadly"
"broader","broader","broader"
"brought","brought","brought"
"bruteforc","bruteforc","bruteforce"
"bubbl","bubbl","bubbles"
"budget","budget","budget"
"build","build","building"
"built","built","built"
"builtin","builtin","builtin"
"bulli","bulli",""
"bundl","bundl","bundle"
"burden","burden","burden"
"bureaucraci","bureaucraci","bureaucracies"
"busi","busi","business"
"calibr","calibr","calibrate"
"call","call","call"
"campaign","campaign","campaigns"
"can","can","can"
"candid","candid","candidate"
"canon","canon","canonically"
"capabl","capabl","capable"
"capac","capac","capacity"
"caption","caption","captioning"
"captur","captur","capture"
"car","car","care"
"card","card","cards"
"cardiologist","cardiologist","cardiologists"
"care","care","care"
"carlo","carlo","carlo"
"carri","carri",""
"case","case","case"
"casebycas","casebycas","casebycase"
"caseload","caseload","caseload"
"casespecif","casespecif","casespecific"
"cash","cash","cash"
"categor","categor","categories"
"categori","categori","categories"
"cater","cater","catering"
"caus","caus","causal"
"causal","causal","causal"
"caution","caution","caution"
"ceei","ceei","ceei"
"cegi","cegi","cegi"
"censor","censor","censorship"
"censorship","censorship","censorship"
"census","census","census"
"censusrepres","censusrepres","censusrepresentative"
"center","center","centers"
"central","central","central"
"centuri","centuri",""
"certain","certain","certain"
"chain","chain","chain"
"challeng","challeng","challenges"
"chanc","chanc","chances"
"chang","chang","change"
"channel","channel","channels"
"character","character","characterize"
"characteris","characteris","characteristics"
"characterist","characterist","characteristics"
"charter","charter","charter"
"check","check","checking"
"chest","chest","chest"
"child","child","child"
"childcar","childcar","childcare"
"china","china","china"
"chines","chines","chinese"
"choic","choic","choice"
"choos","choos","choose"
"chosen","chosen","chosen"
"chronic","chronic","chronic"
"cider","cider","cider"
"cifar","cifar","cifar"
"cilfit","cilfit","cilfit"
"circl","circl","circles"
"circul","circul","circular"
"circular","circular","circular"
"circumv","circumv","circumvent"
"citi","citi","citizens"
"citizen","citizen","citizens"
"cjeu","cjeu","cjeu"
"claim","claim","claims"
"clarifi","clarifi",""
"clariti","clariti",""
"class","class","classification"
"classic","classic","classic"
"classif","classif","classification"
"classifi","classifi","classification"
"clear","clear","clear"
"clinic","clinic","clinical"
"clinician","clinician","clinicians"
"close","close","close"
"cluster","cluster","clustering"
"code","code","codes"
"codesign","codesign","codesign"
"codevelop","codevelop","codeveloping"
"cognit","cognit","cognitive"
"coher","coher","coherent"
"cohes","cohes","cohesively"
"collabor","collabor","collaboration"
"collect","collect","collected"
"colleg","colleg","college"
"collegelevel","collegelevel","collegelevel"
"coloni","coloni","colonialism"
"combat","combat","combat"
"combin","combin","combined"
"come","come","come"
"commenc","commenc","commenced"
"commensur","commensur","commensurate"
"comment","comment","comments"
"commerci","commerci","commercial"
"commit","commit","committed"
"committe","committe","committed"
"common","common","common"
"communic","communic","communication"
"communiti","communiti","communities"
"communitybas","communitybas","communitybased"
"compani","compani","companies"
"compar","compar","comparison"
"comparison","comparison","comparison"
"compel","compel","compelled"
"compens","compens","compensate"
"compet","compet","competitive"
"competit","competit","competitive"
"complement","complement","complement"
"complementari","complementari",""
"complet","complet","completely"
"complex","complex","complex"
"complianc","complianc","compliance"
"complic","complic","complicate"
"compon","compon","components"
"composit","composit","composition"
"compound","compound","compound"
"comprehens","comprehens","comprehensive"
"compris","compris","comprise"
"comput","comput","computer"
"concept","concept","concept"
"conceptu","conceptu","conceptualization"
"concern","concern","concerns"
"conclud","conclud","conclude"
"conclus","conclus","conclusions"
"condit","condit","conditions"
"conduct","conduct","conduct"
"confid","confid","confidence"
"confirm","confirm","confirm"
"conflat","conflat","conflated"
"conflict","conflict","conflict"
"confus","confus","confusion"
"congest","congest","congestion"
"conjunct","conjunct","conjunction"
"connect","connect","connection"
"consensus","consensus","consensus"
"consent","consent","consent"
"consequ","consequ","consequences"
"consequenti","consequenti","consequential"
"conserv","conserv","conservative"
"consid","consid","consider"
"consider","consider","consider"
"consist","consist","consistency"
"constant","constant","constant"
"constitu","constitu","constituent"
"constitut","constitut","constitutes"
"constrain","constrain","constraints"
"constraint","constraint","constraints"
"construct","construct","construct"
"consum","consum","consumers"
"contain","contain","contained"
"contend","contend","contend"
"content","content","content"
"contentprovid","contentprovid","contentproviders"
"contest","contest","contested"
"contested","contested","contested"
"context","context","context"
"contextawar","contextawar","contextaware"
"contextdepend","contextdepend","contextdependent"
"contextu","contextu","contextual"
"contigu","contigu","contiguous"
"contin","contin","continent"
"continu","continu","continue"
"contract","contract","contract"
"contractu","contractu","contractual"
"contrari","contrari",""
"contrast","contrast","contrast"
"contribut","contribut","contribute"
"control","control","control"
"controversi","controversi","controversial"
"convent","convent","conventional"
"converg","converg","converges"
"convers","convers","conversations"
"convert","convert","converting"
"convinc","convinc","convince"
"cooper","cooper","cooperate"
"coordin","coordin","coordination"
"core","core","core"
"corona","corona","corona"
"corpor","corpor","corporate"
"corpus","corpus","corpuses"
"correct","correct","correctness"
"correl","correl","correlated"
"correspond","correspond","corresponding"
"corrupt","corrupt","corrupted"
"cost","cost","costs"
"costlier","costlier","costlier"
"count","count","counterfactual"
"counter","counter","counterfactual"
"counteract","counteract","counteract"
"counterfactu","counterfactu","counterfactual"
"countermeasur","countermeasur","countermeasures"
"counternarr","counternarr","counternarratives"
"counterpart","counterpart","counterpart"
"countervail","countervail","countervailing"
"countri","countri","countries"
"coupl","coupl","couple"
"cours","cours","course"
"covari","covari","covariate"
"cover","cover","coverage"
"coverag","coverag","coverage"
"covid","covid","covid"
"creat","creat","create"
"creation","creation","creation"
"credibl","credibl",""
"credit","credit","credit"
"creditworthi","creditworthi","creditworthiness"
"crime","crime","crime"
"crimin","crimin","criminal"
"crisi","crisi","crisis"
"criteria","criteria","criteria"
"criterion","criterion","criterion"
"critic","critic","critical"
"criticalnecessari","criticalnecessari",""
"critiqu","critiqu","critique"
"crossdataset","crossdataset","crossdataset"
"crosslingu","crosslingu","crosslingual"
"crosslinguist","crosslinguist","crosslinguistically"
"crosssect","crosssect","crosssectional"
"crosssector","crosssector","crosssectoral"
"crowd","crowd","crowd"
"crowdsourc","crowdsourc","crowdsourced"
"crucial","crucial","crucial"
"csand","csand","csand"
"cts","cts","cts"
"cultur","cultur","cultural"
"curat","curat","curated"
"currenc","currenc","currency"
"current","current","current"
"custom","custom","customized"
"cut","cut","cuts"
"cyberphys","cyberphys","cyberphysical"
"cycl","cycl","cycle"
"cyclic","cyclic","cyclical"
"cynic","cynic","cynical"
"damag","damag","damage"
"danger","danger","dangerously"
"dark","dark","dark"
"data","data","data"
"databasesw","databasesw","databaseswe"
"datadriven","datadriven","datadriven"
"datarel","datarel","datarelated"
"dataset","dataset","dataset"
"date","date","date"
"day","day","days"
"deal","deal","deal"
"dealt","dealt","dealt"
"dearth","dearth","dearth"
"death","death","death"
"debat","debat","debates"
"decent","decent","decenter"
"decept","decept","deception"
"decid","decid","decide"
"decis","decis","decisionmaking"
"decisionmak","decisionmak","decisionmaking"
"decisionsthey","decisionsthey","decisionsthey"
"decisionsupport","decisionsupport","decisionsupport"
"declar","declar","declarative"
"decompos","decompos","decomposed"
"decreas","decreas","decrease"
"deem","deem","deemed"
"deep","deep","deep"
"deeper","deeper","deeper"
"defend","defend","defendants"
"deficit","deficit","deficit"
"defin","defin","definitions"
"definit","definit","definitions"
"deflect","deflect","deflects"
"degre","degre","degrees"
"deleteri","deleteri","deleterious"
"deliber","deliber","deliberate"
"delicaci","delicaci",""
"deliv","deliv","deliver"
"demand","demand","demand"
"democraci","democraci",""
"democrat","democrat","democratic"
"demograph","demograph","demographic"
"demonstr","demonstr","demonstrate"
"deni","deni","denied"
"depend","depend","depend"
"deploy","deploy","deployed"
"depress","depress","depression"
"deriv","deriv","derivative"
"derog","derog","derogations"
"describ","describ","describe"
"descript","descript","descriptors"
"descriptor","descriptor","descriptors"
"deserv","deserv","deserve"
"desiderata","desiderata","desiderata"
"design","design","design"
"designar","designar","designare"
"desir","desir","desirable"
"despit","despit","despite"
"detach","detach","detaches"
"detail","detail","detailed"
"detect","detect","detect"
"determin","determin","determine"
"detriment","detriment","detriment"
"devalu","devalu","devaluation"
"devast","devast","devastating"
"develop","develop","development"
"diabet","diabet","diabetics"
"diagnos","diagnos","diagnosis"
"diagnosi","diagnosi","diagnosis"
"diagnost","diagnost","diagnostic"
"dichotomi","dichotomi",""
"dictat","dictat","dictate"
"differ","differ","different"
"differenti","differenti","differential"
"differents","differents","differentsized"
"difficult","difficult","difficult"
"difficulti","difficulti",""
"digit","digit","digital"
"digitallyimpl","digitallyimpl","digitallyimplemented"
"dilemma","dilemma","dilemmas"
"dimens","dimens","dimensions"
"dimension","dimension","dimensions"
"direct","direct","directive"
"disadvantag","disadvantag","disadvantaged"
"disagr","disagr","disagreement"
"disciplin","disciplin","disciplinary"
"disciplinari","disciplinari",""
"disclos","disclos","disclosure"
"disclosur","disclosur","disclosure"
"disconnect","disconnect","disconnect"
"discord","discord","discordance"
"discount","discount","discounts"
"discours","discours","discourse"
"discov","discov","discover"
"discoveri","discoveri",""
"discrep","discrep","discrepancies"
"discret","discret","discrete"
"discretionari","discretionari",""
"discrimin","discrimin","discrimination"
"discriminatori","discriminatori",""
"discuss","discuss","discuss"
"diseas","diseas","disease"
"disentangl","disentangl","disentangle"
"disinvest","disinvest","disinvestment"
"dislik","dislik","disliked"
"disord","disord","disorders"
"dispar","dispar","disparities"
"disparti","disparti","disparties"
"display","display","displayed"
"disposit","disposit","disposition"
"disproportion","disproportion","disproportionately"
"disrupt","disrupt","disruptions"
"dissimilar","dissimilar","dissimilarity"
"distanc","distanc","distance"
"distil","distil","distilled"
"distinct","distinct","distinct"
"distinguish","distinguish","distinguish"
"distort","distort","distort"
"distribut","distribut","distribution"
"district","district","district"
"distrust","distrust","distrust"
"disus","disus","disuse"
"diverg","diverg","divergent"
"divers","divers","diversity"
"diversif","diversif","diversification"
"divid","divid","divide"
"divis","divis","divisive"
"dnns","dnns","dnns"
"document","document","documents"
"dollar","dollar","dollars"
"domain","domain","domain"
"domin","domin","dominant"
"donat","donat","donation"
"done","done","done"
"dose","dose",""
"doubl","doubl","double"
"doubli","doubli",""
"downstream","downstream","downstream"
"dpia","dpia","dpias"
"dramat","dramat","dramatically"
"drastic","drastic","drastically"
"draw","draw","drawing"
"drawn","drawn","drawn"
"dress","dress","dressing"
"drive","drive","drive"
"driven","driven","driven"
"drug","drug","drug"
"dudik","dudik","dudik"
"due","due","due"
"dutch","dutch","dutch"
"dynam","dynam","dynamics"
"eager","eager","eager"
"earli","earli","earlier"
"earlier","earlier","earlier"
"easier","easier","easier"
"easili","easili",""
"echochamb","echochamb","echochamber"
"econom","econom","economic"
"ecosystem","ecosystem","ecosystem"
"educ","educ","education"
"effect","effect","effects"
"effectbas","effectbas","effectbased"
"efficaci","efficaci",""
"effici","effici","efficiency"
"effort","effort","efforts"
"egalitarian","egalitarian","egalitarian"
"either","either","either"
"elabor","elabor","elaborate"
"elast","elast","elastic"
"elect","elect","elections"
"element","element","elements"
"elev","elev","elevate"
"elicit","elicit","elicit"
"elid","elid","elide"
"elig","elig","eligible"
"elucid","elucid","elucidate"
"embed","embed","embedding"
"embrac","embrac","embrace"
"emerg","emerg","emerged"
"emot","emot","emotions"
"empir","empir","empirical"
"empiric","empiric","empirical"
"employ","employ","employer"
"empow","empow","empower"
"enabl","enabl","enable"
"enact","enact","enacts"
"encod","encod","encoded"
"encompass","encompass","encompassing"
"encount","encount","encounter"
"encourag","encourag","encouraging"
"encyclopedia","encyclopedia","encyclopedia"
"end","end","end"
"endow","endow","endowments"
"endtoend","endtoend","endtoend"
"energi","energi",""
"enforc","enforc","enforcement"
"engag","engag","engagement"
"engin","engin","engineering"
"english","english","english"
"enhanc","enhanc","enhancing"
"enjoy","enjoy","enjoys"
"enorm","enorm","enormous"
"enough","enough","enough"
"enrol","enrol","enrolled"
"enrolle","enrolle","enrolled"
"ensur","ensur","ensure"
"enter","enter","enter"
"entiti","entiti","entities"
"entitl","entitl","entitled"
"entranc","entranc","entrance"
"enumer","enumer","enumeration"
"envi","envi","environments"
"environ","environ","environments"
"environment","environment","environments"
"eop","eop","eop"
"eopan","eopan","eopan"
"epistem","epistem","epistemic"
"epistemolog","epistemolog","epistemological"
"equal","equal","equal"
"equat","equat","equations"
"equilibrium","equilibrium","equilibrium"
"equip","equip","equip"
"equit","equit","equity"
"equiti","equiti",""
"equival","equival","equivalent"
"era","era","era"
"erron","erron","erroneously"
"error","error","error"
"especi","especi","especially"
"essay","essay","essay"
"essenti","essenti","essential"
"establish","establish","established"
"estim","estim","estimators"
"etc","etc","etc"
"ethic","ethic","ethics"
"ethnic","ethnic","ethnic"
"ethnocentr","ethnocentr","ethnocentrism"
"ethnograph","ethnograph","ethnographic"
"european","european","european"
"eus","eus","eus"
"evalu","evalu","evaluation"
"even","even","even"
"event","event","event"
"ever","ever","ever"
"everi","everi",""
"everyday","everyday","everyday"
"everyth","everyth","everything"
"evid","evid","evidence"
"evok","evok","evokes"
"evolut","evolut","evolution"
"exacerb","exacerb","exacerbate"
"exact","exact","exact"
"exam","exam","example"
"examin","examin","examine"
"exampl","exampl","example"
"excess","excess","excesses"
"exclud","exclud","exclude"
"exclus","exclus","exclusion"
"exclusionari","exclusionari",""
"execut","execut","executes"
"exemplifi","exemplifi","exemplifies"
"exempt","exempt","exemptions"
"exercis","exercis","exercises"
"exhibit","exhibit","exhibits"
"exist","exist","existing"
"exit","exit","exit"
"expand","expand","expanding"
"expect","expect","expected"
"expenditur","expenditur","expenditure"
"expens","expens","expense"
"experi","experi","experiments"
"experiment","experiment","experiments"
"expert","expert","experts"
"expertis","expertis","expertise"
"explain","explain","explainability"
"explan","explan","explanations"
"explicit","explicit","explicitly"
"exploit","exploit","exploit"
"explor","explor","explore"
"exploratori","exploratori",""
"exponenti","exponenti","exponentially"
"expos","expos","expose"
"exposur","exposur","exposures"
"express","express","express"
"extend","extend","extend"
"extens","extens","extensive"
"extent","extent","extent"
"extern","extern","externalities"
"extra","extra","extracted"
"extract","extract","extracted"
"extrem","extrem","extreme"
"extrins","extrins","extrinsic"
"eye","eye","eye"
"face","face","face"
"facebook","facebook","facebook"
"facial","facial","facial"
"facil","facil","facilitate"
"facilit","facilit","facilitate"
"fact","fact","fact"
"factor","factor","factors"
"fail","fail","fails"
"failur","failur","failure"
"fair","fair","fairness"
"fairlloyd","fairlloyd","fairlloyd"
"fairmaml","fairmaml","fairmaml"
"fairml","fairml","fairml"
"fairnessawar","fairnessawar","fairnessaware"
"fairnessbas","fairnessbas","fairnessbased"
"fairnessori","fairnessori","fairnessoriented"
"fairshar","fairshar","fairshare"
"fake","fake","fake"
"fall","fall","fall"
"fals","fals","false"
"famili","famili",""
"far","far","far"
"farmer","farmer","farmers"
"farreach","farreach","farreaching"
"farright","farright","farright"
"fast","fast","fast"
"fatml","fatml","fatml"
"favor","favor","favorable"
"favorit","favorit","favorite"
"fea","fea","features"
"feasibl","feasibl",""
"featur","featur","features"
"featurehighlight","featurehighlight","featurehighlighting"
"feder","feder","federal"
"feedback","feedback","feedback"
"feel","feel","feel"
"fiction","fiction","fictional"
"fide","fide","fide"
"fidel","fidel","fidelity"
"field","field","field"
"fieldwork","fieldwork","fieldwork"
"fight","fight","fighting"
"filter","filter","filter"
"final","final","finally"
"financi","financi","financial"
"find","find","find"
"finegrain","finegrain","finegrained"
"finetun","finetun","finetuned"
"firm","firm","firm"
"first","first","first"
"firstclass","firstclass","firstclass"
"firstofitskind","firstofitskind","firstofitskind"
"fit","fit","fitzpatrick"
"fitbit","fitbit","fitbit"
"fitzpatrick","fitzpatrick","fitzpatrick"
"five","five","five"
"fix","fix","fixed"
"flag","flag","flag"
"flexibl","flexibl","flexible"
"flipset","flipset","flipset"
"fliptest","fliptest","fliptest"
"flow","flow","flows"
"fluenci","fluenci",""
"fnr","fnr","fnr"
"focal","focal","focal"
"focus","focus","focus"
"fold","fold","fold"
"foley","foley","foley"
"follow","follow","following"
"food","food","food"
"foodbank","foodbank","foodbank"
"foolproof","foolproof","foolproof"
"forc","forc","force"
"forecast","forecast","forecasting"
"foreshadow","foreshadow","foreshadow"
"form","form","form"
"formal","formal","formal"
"formalist","formalist","formalist"
"former","former","former"
"formul","formul","formulation"
"forth","forth","forth"
"forum","forum","forum"
"forward","forward","forward"
"foster","foster","foster"
"found","found","found"
"four","four","four"
"fpr","fpr","fpr"
"fraction","fraction","fraction"
"frame","frame","framework"
"framework","framework","framework"
"fraught","fraught","fraught"
"free","free","free"
"freedom","freedom","freedom"
"french","french","french"
"frequenc","frequenc","frequency"
"frequent","frequent","frequently"
"friction","friction","friction"
"fring","fring","fringe"
"fuel","fuel","fuel"
"full","full","full"
"fulli","fulli",""
"function","function","function"
"fund","fund","fundamental"
"fundament","fundament","fundamental"
"furthermor","furthermor","furthermore"
"futur","futur","future"
"gain","gain","gains"
"gap","gap","gap"
"gateway","gateway","gateways"
"gather","gather","gather"
"gdpr","gdpr","gdpr"
"gdprs","gdprs","gdprs"
"gender","gender","gender"
"general","general","general"
"generaliz","generaliz","generalization"
"generat","generat","generated"
"generic","generic","generic"
"geograph","geograph","geographic"
"german","german","german"
"get","get","get"
"give","give","given"
"given","given","given"
"glaub","glaub","glaube"
"glean","glean","gleaned"
"goal","goal","goals"
"goe","goe","goes"
"gone","gone","gone"
"good","good","good"
"govern","govern","governance"
"gpt","gpt","gpt"
"grade","grade","grades"
"gradient","gradient","gradient"
"gradientbas","gradientbas","gradientbased"
"gradual","gradual","gradually"
"grant","grant","grant"
"granular","granular","granularity"
"grasp","grasp","grasp"
"great","great","greater"
"greater","greater","greater"
"greek","greek","greek"
"grievanc","grievanc","grievances"
"ground","ground","ground"
"group","group","groups"
"groupbas","groupbas","groupbased"
"groupdepend","groupdepend","groupdependent"
"grouprepres","grouprepres","grouprepresentative"
"grow","grow","growing"
"guarante","guarante","guaranteed"
"guid","guid","guide"
"guidelin","guidelin","guidelines"
"gulf","gulf","gulf"
"gullibl","gullibl","gullible"
"half","half","half"
"hand","hand","hand"
"har","har","harms"
"harm","harm","harms"
"hbac","hbac","hbac"
"hdm","hdm","hdm"
"health","health","health"
"healthcar","healthcar","healthcare"
"heighten","heighten","heighten"
"help","help","help"
"henc","henc","hence"
"heterogen","heterogen","heterogeneous"
"heurist","heurist","heuristics"
"hidden","hidden","hidden"
"hierarchi","hierarchi","hierarchies"
"high","high","higher"
"higher","higher","higher"
"higherord","higherord","higherorder"
"highestrisk","highestrisk","highestrisk"
"highimpact","highimpact","highimpact"
"highlevel","highlevel","highlevel"
"highlight","highlight","highlight"
"highrisk","highrisk","highrisk"
"highstak","highstak","highstakes"
"hint","hint","hint"
"hire","hire","hired"
"histor","histor","history"
"histori","histori","historical"
"hoc","hoc","hoc"
"hold","hold","hold"
"holist","holist","holistic"
"hope","hope","hope"
"hospit","hospit","hospital"
"hotel","hotel","hotels"
"hous","hous","housing"
"howard","howard","howard"
"howev","howev","however"
"hss","hss","hss"
"httpsbitlytrafo","httpsbitlytrafo","httpsbitlytrafo"
"httpsgithubcomnvedantfairnessthroughrobust","httpsgithubcomnvedantfairnessthroughrobust","httpsgithubcomnvedantfairnessthroughrobustness"
"huge","huge","hugely"
"human","human","human"
"humancent","humancent","humancentered"
"humancentr","humancentr","humancentric"
"humancomput","humancomput","humancomputer"
"humanist","humanist","humanistic"
"humanleg","humanleg","humanlegible"
"hyperact","hyperact","hyperactive"
"hypertens","hypertens","hypertensives"
"hypothes","hypothes","hypothesized"
"hypothesi","hypothesi","hypothesized"
"iceberg","iceberg","iceberg"
"icml","icml","icml"
"idea","idea","idea"
"ideal","ideal","ideal"
"ident","ident","identify"
"identif","identif","identify"
"identifi","identifi","identification"
"ideolog","ideolog","ideologies"
"idw","idw","idw"
"ignor","ignor","ignores"
"iii","iii","iii"
"ill","ill","illustrate"
"illdefin","illdefin","illdefined"
"illequip","illequip","illequipped"
"illsuit","illsuit","illsuited"
"illumin","illumin","illuminates"
"illustr","illustr","illustrate"
"imag","imag","image"
"imbal","imbal","imbalances"
"immigr","immigr","immigration"
"impact","impact","impact"
"imped","imped","impedance"
"imperfect","imperfect","imperfect"
"implement","implement","implementation"
"implic","implic","implications"
"implicit","implicit","implicitly"
"import","import","important"
"impos","impos","imposing"
"imposs","imposs","impossible"
"impress","impress","impressive"
"improv","improv","improve"
"inabl","inabl",""
"inaccur","inaccur","inaccurate"
"inadequ","inadequ","inadequate"
"inadvert","inadvert","inadvertent"
"inappropri","inappropri","inappropriate"
"incent","incent","incentives"
"incentiv","incentiv","incentives"
"incid","incid","incidents"
"incit","incit","incite"
"includ","includ","including"
"inclus","inclus","inclusion"
"incom","incom","incomes"
"inconsist","inconsist","inconsistent"
"incorpor","incorpor","incorporate"
"incorrect","incorrect","incorrect"
"increas","increas","increasingly"
"increment","increment","incrementally"
"incur","incur","incurring"
"inde","inde","independent"
"independ","independ","independent"
"indepth","indepth","indepth"
"index","index","index"
"india","india","india"
"indic","indic","indicate"
"indicatorssuch","indicatorssuch","indicatorssuch"
"indiffer","indiffer","indifference"
"indistribut","indistribut","indistribution"
"individu","individu","individual"
"individuallytailor","individuallytailor","individuallytailored"
"indivis","indivis","indivisible"
"induc","induc","induce"
"industri","industri","industries"
