"","title","paperID","topic.V1","topic.V2","topic.V3","topic.V4","topic.V5","topic.V6","topic.V7","topic.V8","topic.V9","topic.V10"
"11","Disparate Interactions: An Algorithm-in-the-Loop Analysis of Fairness in Risk Assessments",10,0.000116622626981168,0.000116622626981184,0.000116622626981134,0.00011662262698111,0.000116622626981127,0.000116622626981161,0.000116622626981172,0.000116622626981138,0.99895039635717,0.000116622626981099
"12","An Empirical Study of Rich Subgroup Fairness for Machine Learning",11,0.000105749359046413,0.000105749359046464,0.000105749359046318,0.000105749359046435,0.00010574935904647,0.000105749359046452,0.000105749359046413,0.999048255768582,0.000105749359046391,0.000105749359046399
"13","The Profiling Potential of Computer Vision and the Challenge of Computational Empiricism",12,0.000153929642866513,0.000153929642866556,0.000153929642866548,0.000153929642866517,0.141059636005134,0.857708926851934,0.000153929642866543,0.000153929642866529,0.000153929642866514,0.00015392964286649
"14","Bias in Bios: A Case Study of Semantic Representation Bias in a High-Stakes Setting",13,0.000226332232373494,0.000226332232373533,0.000226332232373513,0.000226332232373502,0.000226332232373476,0.828469178659266,0.00022633223237345,0.169720163481746,0.000226332232373459,0.000226332232373477
"15","Equality of Voice: Towards Fair Representation in Crowdsourced Top-K Recommendations",14,0.0443689221529242,0.00011493438658288,0.000114934386582904,0.954711602754413,0.000114934386582908,0.000114934386582915,0.000114934386582876,0.000114934386582868,0.000114934386582815,0.000114934386582895
"16","Analyzing Biases in Perception of Truth in News Stories and Their Implications for Fact Checking",15,0.999630867832498,4.10146852780282e-05,4.10146852780131e-05,4.10146852780175e-05,4.10146852779905e-05,4.10146852779808e-05,4.10146852780597e-05,4.10146852780367e-05,4.10146852780264e-05,4.10146852780223e-05
"17","On Microtargeting Socially Divisive Ads: A Case Study of Russia-Linked Ad Campaigns on Facebook",16,0.1952590354292,0.000115772352453949,0.00011577235245398,0.000115772352453963,0.803814785751168,0.00011577235245398,0.000115772352453941,0.000115772352453975,0.000115772352453928,0.00011577235245396
"18","SIREN: A Simulation Framework for Understanding the Effects of Recommender Systems in Online News Environments",17,0.000124876902022955,0.00012487690202301,0.000124876902022992,0.000124876902022971,0.000124876902023013,0.000124876902022978,0.00012487690202292,0.000124876902022915,0.00012487690202297,0.998876107881793
"19","Controlling Polarization in Personalization: An Algorithmic Framework",18,0.998737060005951,0.000140326666005414,0.000140326666005402,0.000140326666005383,0.000140326666005406,0.000140326666005364,0.000140326666005425,0.000140326666005424,0.000140326666005373,0.000140326666005393
"20","Fair Algorithms for Learning in Allocation Problems",19,8.35049268102297e-05,8.35049268102799e-05,8.35049268102126e-05,8.35049268101665e-05,8.35049268102424e-05,8.35049268102293e-05,8.35049268102474e-05,0.999248455658708,8.3504926810187e-05,8.35049268101885e-05
"21","Fair Allocation through Competitive Equilibrium from Generic Incomes",20,9.38715382213052e-05,9.38715382213324e-05,9.38715382213712e-05,0.999155156156008,9.38715382213672e-05,9.38715382213976e-05,9.38715382213712e-05,9.38715382209771e-05,9.38715382213654e-05,9.38715382213367e-05
"22","A Moral Framework for Understanding Fair ML through Economic Models of Equality of Opportunity",21,0.000166870508524453,0.000166870508524517,0.0212306513836913,0.000166870508524456,0.000166870508524504,0.087078494781156,0.000166870508524403,0.102077369571886,0.000166870508524498,0.78861226121212
"23","Beyond Open vs. Closed: Balancing Individual Privacy and Public Accountability in Data Sharing",22,0.000114108464016563,0.000114108464016595,0.998973023823851,0.000114108464016518,0.000114108464016534,0.00011410846401661,0.000114108464016503,0.000114108464016573,0.000114108464016546,0.000114108464016536
"24","Who's the Guinea Pig?: Investigating Online A/B/n Tests in-the-Wild",23,0.00021412425398602,0.000214124253986012,0.000214124253985991,0.998072881714126,0.000214124253986009,0.000214124253985991,0.000214124253985969,0.000214124253985997,0.000214124253986006,0.000214124253985974
"25","Fairness-Aware Programming",24,0.00011577235245397,0.000115772352453918,0.998958048827915,0.000115772352453967,0.000115772352453965,0.000115772352453988,0.000115772352453884,0.000115772352453907,0.000115772352453891,0.000115772352453874
"26","Model Cards for Model Reporting",25,9.01413765856897e-05,9.01413765856238e-05,9.01413765856638e-05,9.01413765856561e-05,9.01413765855986e-05,9.01413765857333e-05,9.01413765855253e-05,9.01413765856801e-05,0.999188727610729,9.01413765856052e-05
"27","The Social Cost of Strategic Classification",26,0.000211275295821543,0.000211275295821573,0.159978359210108,0.00021127529582154,0.000211275295821551,0.000211275295821504,0.000211275295821543,0.83833143842332,0.000211275295821551,0.000211275295821522
"28","Downstream Effects of Affirmative Action",27,0.000127894253433651,0.000127894253433643,0.000127894253433616,0.000127894253433571,0.000127894253433605,0.000127894253433595,0.998848951719098,0.000127894253433581,0.000127894253433596,0.000127894253433605
"29","Access to Population-Level Signaling as a Source of Inequality",28,0.00012687239750622,0.000126872397506186,0.00012687239750619,0.000126872397506199,0.000126872397506191,0.000126872397506215,0.998858148422444,0.000126872397506213,0.000126872397506183,0.000126872397506212
"30","The Disparate Effects of Strategic Manipulation",29,0.000101686211872197,0.000101686211872299,0.000101686211872187,0.000101686211872213,0.000101686211872177,0.000101686211872224,0.000101686211872209,0.99908482409315,0.000101686211872199,0.000101686211872155
"31","What to account for when accounting for algorithms: a systematic literature review on algorithmic accountability",0,0.000101039183407552,0.000101039183407577,0.000101039183407552,0.000101039183407509,0.000101039183407543,0.000101039183407156,0.000101039183407086,0.000101039183407551,0.000101039183407456,0.999090647349333
"32","Algorithmic realism: expanding the boundaries of algorithmic thought",1,0.00012789425343361,0.000127894253433649,0.000127894253433645,0.000127894253433692,0.000127894253433601,0.000127894253433625,0.998848951719097,0.000127894253433631,0.000127894253433638,0.000127894253433586
"33","Algorithmic accountability in public administration: the GDPR paradox",2,9.11765396753446e-05,9.11765396753812e-05,0.999179411142922,9.11765396753448e-05,9.11765396752902e-05,9.11765396753383e-05,9.11765396752034e-05,9.11765396752576e-05,9.11765396751504e-05,9.11765396753123e-05
"34","Closing the AI accountability gap: defining an end-to-end framework for internal algorithmic auditing",3,0.000161770491342385,0.000161770491342359,0.000161770491342412,0.000161770491342356,0.000161770491342355,0.000161770491342389,0.998544065577919,0.00016177049134235,0.000161770491342394,0.000161770491342329
"35","Toward situated interventions for algorithmic equity: lessons from the field",4,0.000129988155172181,0.0907169407054001,0.000129988155172228,0.000129988155172217,0.000129988155172214,0.000129988155172194,0.908243154053222,0.000129988155172237,0.000129988155172192,0.000129988155172167
"36","Explainability fact sheets: a framework for systematic assessment of explainable approaches",5,0.000121998643086919,0.000121998643086937,0.000121998643086895,0.000121998643086912,0.00012199864308694,0.000121998643086934,0.982523940359198,0.00012199864308689,0.0165000704961069,0.000121998643086804
"37","Multi-layered explanations from algorithmic impact assessments in the GDPR",6,0.00018646572643255,0.000186465726432558,0.000186465726432617,0.00018646572643257,0.000186465726432542,0.766397839503951,0.000186465726432516,0.000186465726432602,0.151223243409074,0.0810736570019471
"38","The hidden assumptions behind counterfactual explanations and principal reasons",7,0.000101686211872235,0.00010168621187219,0.000101686211872113,0.000101686211872244,0.00010168621187225,0.00010168621187225,0.000101686211872222,0.000101686211872095,0.99908482409315,0.000101686211872181
"39","Why does my model fail?: contrastive local explanations for retail forecasting",8,0.127434751878357,0.000120152399771908,0.000120152399771911,0.000120152399771824,0.000120152399771887,0.000120152399771929,0.000120152399771905,0.000120152399771889,0.871604028923468,0.000120152399771878
"40","""The human body is a black box"": supporting clinical decision-making with deep learning",9,8.86319662642487e-05,8.86319662642452e-05,8.86319662642233e-05,8.86319662641295e-05,8.86319662641482e-05,8.86319662640258e-05,8.86319662638867e-05,8.86319662639874e-05,0.999202312303623,8.86319662641385e-05
"41","Assessing algorithmic fairness with unobserved protected class using data combination",10,0.000112491724989098,0.000112491724989012,0.000112491724989045,0.000112491724989031,0.000112491724989042,0.000112491724989096,0.000112491724989081,0.103784117259917,0.000112491724989031,0.895315948940171
"42","FlipTest: fairness testing via optimal transport",11,0.000160139062720152,0.000160139062720222,0.000160139062720227,0.998558748435518,0.000160139062720192,0.000160139062720234,0.000160139062720238,0.000160139062720175,0.000160139062720259,0.000160139062720219
"43","Implications of AI (un-)fairness in higher education admissions: the effects of perceived AI (un-)fairness on exit, voice and organizational reputation",12,8.86319662642294e-05,8.86319662642118e-05,0.999202312303623,8.86319662641907e-05,8.8631966264237e-05,8.86319662640881e-05,8.8631966264035e-05,8.86319662641663e-05,8.8631966264246e-05,8.86319662641457e-05
"44","Auditing radicalization pathways on YouTube",13,0.18578347815442,0.000133260800514623,0.000133260800514602,0.000133260800514664,0.000133260800514622,0.000133260800514677,0.000133260800514674,0.000133260800514627,0.000133260800514649,0.813150435441463
"45","Case study: predictive fairness to reduce misdemeanor recidivism through social service interventions",14,9.79237438378541e-05,9.79237438377973e-05,9.79237438378458e-05,9.79237438379606e-05,9.79237438378281e-05,9.79237438378697e-05,9.79237438378966e-05,0.999118686305459,9.7923743837908e-05,9.79237438379244e-05
"46","The concept of fairness in the GDPR: a linguistic and contextual interpretation",15,6.78137936740148e-05,6.78137936739994e-05,6.78137936738688e-05,6.78137936739065e-05,6.78137936739261e-05,0.999389675856935,6.7813793673994e-05,6.78137936739453e-05,6.78137936739433e-05,6.78137936739398e-05
"47","The concept of fairness in the GDPR: a linguistic and contextual interpretation",16,6.78137936740148e-05,6.78137936739994e-05,6.78137936738688e-05,6.78137936739065e-05,6.78137936739261e-05,0.999389675856935,6.7813793673994e-05,6.78137936739453e-05,6.78137936739433e-05,6.78137936739398e-05
"48","POTs: protective optimization technologies",17,0.000118361202966751,0.00011836120296676,0.000118361202966719,0.000118361202966763,0.000118361202966748,0.000118361202966782,0.998934749173299,0.000118361202966751,0.000118361202966672,0.00011836120296671
"49","Fair decision making using privacy-protected data",18,0.000153929642866536,0.930109087792147,0.00015392964286651,0.00015392964286655,0.00015392964286656,0.000153929642866548,0.000153929642866458,0.0686594750649209,0.000153929642866529,0.000153929642866452
"50","Fairness warnings and fair-MAML: learning fairly with minimal data",19,0.000163435502692082,0.000163435502692076,0.998529080475771,0.00016343550269206,0.000163435502692127,0.000163435502692098,0.000163435502692101,0.000163435502692097,0.000163435502692068,0.00016343550269209
"51","Fairness warnings and fair-MAML: learning fairly with minimal data",20,0.000163435502692082,0.000163435502692076,0.998529080475771,0.00016343550269206,0.000163435502692127,0.000163435502692098,0.000163435502692101,0.000163435502692097,0.000163435502692068,0.00016343550269209
"52","Fairness warnings and fair-MAML: learning fairly with minimal data",21,0.000163435502692082,0.000163435502692076,0.998529080475771,0.00016343550269206,0.000163435502692127,0.000163435502692098,0.000163435502692101,0.000163435502692097,0.000163435502692068,0.00016343550269209
"53","Whose side are ethics codes on?: power, responsibility and the social good",22,0.0001332608005147,0.000133260800514665,0.000133260800514717,0.000133260800514683,0.998800652795368,0.000133260800514733,0.00013326080051468,0.000133260800514668,0.00013326080051463,0.000133260800514655
"54","Algorithmic targeting of social policies: fairness, accuracy, and distributed governance",23,0.000124876902023029,0.000124876902023063,0.000124876902023012,0.00012487690202306,0.00012487690202306,0.000124876902023031,0.000124876902023031,0.0613966562178469,0.000124876902023001,0.937604328565969
"55","Roles for computing in social change",24,0.000123902510019832,0.000123902510019858,0.000123902510019805,0.000123902510019814,0.998884877409822,0.000123902510019836,0.000123902510019794,0.000123902510019821,0.000123902510019804,0.000123902510019816
"56","Roles for computing in social change",25,0.000123902510019832,0.000123902510019858,0.000123902510019805,0.000123902510019814,0.998884877409822,0.000123902510019836,0.000123902510019794,0.000123902510019821,0.000123902510019804,0.000123902510019816
"57","The relationship between trust in AI and trustworthy machine learning technologies",26,0.000133260800514628,0.000133260800514594,0.00013326080051463,0.000133260800514579,0.000133260800514651,0.000133260800514629,0.998800652795368,0.000133260800514621,0.000133260800514642,0.000133260800514622
"58","The philosophical basis of algorithmic recourse",27,0.000236442549687215,0.000236442549687193,0.000236442549687213,0.000236442549687184,0.997872017052815,0.000236442549687182,0.000236442549687161,0.000236442549687211,0.000236442549687186,0.000236442549687194
"59","The philosophical basis of algorithmic recourse",28,0.000236442549687215,0.000236442549687193,0.000236442549687213,0.000236442549687184,0.997872017052815,0.000236442549687182,0.000236442549687161,0.000236442549687211,0.000236442549687186,0.000236442549687194
"60","Effect of confidence and explanation on accuracy and trust calibration in AI-assisted decision making",29,0.000101686211872158,0.99908482409315,0.000101686211872174,0.000101686211872139,0.000101686211872205,0.000101686211872174,0.000101686211872166,0.000101686211872222,0.000101686211872173,0.000101686211872138
"61","Leave-one-out Unfairness",0,0.000156972969894911,0.000156972969894881,0.000156972969894962,0.998587243270946,0.00015697296989493,0.000156972969894921,0.000156972969894923,0.00015697296989495,0.000156972969894877,0.000156972969894862
"62","Fairness, Welfare, and Equity in Personalized Pricing",1,9.6730706990239e-05,9.67307069900539e-05,0.999129423637088,9.67307069902592e-05,9.6730706990275e-05,9.67307069902638e-05,9.67307069901494e-05,9.67307069901431e-05,9.67307069902154e-05,9.67307069902169e-05
"63","Re-imagining Algorithmic Fairness in India and Beyond",2,0.000211275295821516,0.000211275295821582,0.000211275295821576,0.000211275295821538,0.000211275295821585,0.000211275295821546,0.000211275295821507,0.998098522337606,0.000211275295821511,0.000211275295821586
"64","Narratives and Counternarratives on Data Sharing in Africa",3,0.000105749359046445,0.000105749359046422,0.000105749359046462,0.999048255768582,0.00010574935904642,0.000105749359046447,0.0001057493590464,0.000105749359046428,0.000105749359046395,0.00010574935904642
"65","This Whole Thing Smacks of Gender: Algorithmic Exclusion in Bioimpedance-based Body Composition Analysis",4,0.000136702489213388,0.000136702489213375,0.000136702489213394,0.000136702489213379,0.000136702489213332,0.000136702489213404,0.000136702489213324,0.000136702489213351,0.000136702489213379,0.99876967759708
"66","Algorithmic Recourse: from Counterfactual Explanations to Interventions",5,0.000166870508524485,0.000166870508524502,0.000166870508524455,0.000166870508524505,0.00016687050852449,0.000166870508524479,0.000166870508524491,0.656633153864561,0.342031882067243,0.000166870508524494
"67","A Semiotics-based epistemic tool to reason about ethical issues in digital technology design and development",6,0.000137889567393761,0.000137889567393695,0.00013788956739372,0.000137889567393743,0.000137889567393682,0.000137889567393708,0.998758993893457,0.000137889567393741,0.000137889567393682,0.000137889567393666
"68","Measurement and Fairness",7,0.000116622626981098,0.000116622626981103,0.00011662262698112,0.000116622626981119,0.00011662262698115,0.000116622626981073,0.000116622626981047,0.000116622626981107,0.000116622626981054,0.99895039635717
"69","Fairness in Risk Assessment Instruments: Post-Processing to Achieve Counterfactual Equalized Odds",8,0.000109391899660653,0.999015472903054,0.000109391899660666,0.000109391899660626,0.000109391899660647,0.000109391899660678,0.000109391899660635,0.00010939189966033,0.000109391899660641,0.000109391899660629
"70","High Dimensional Model Explanations: An Axiomatic Approach",9,0.000151002077039653,0.000151002077039658,0.000151002077039687,0.000151002077039687,0.000151002077039663,0.000151002077039644,0.000151002077039693,0.000151002077039693,0.109105735192571,0.889686248191112
"71","An Agent-based Model to Evaluate Interventions on Online Dating Platforms to Decrease Racial Homogamy",10,0.000118361202966762,0.000118361202966766,0.000118361202966735,0.000118361202966723,0.000118361202966731,0.000118361202966705,0.000118361202966755,0.000118361202966781,0.000118361202966729,0.998934749173299
"72","Designing Accountable Systems",11,0.000182186967577801,0.000182186967577796,0.000182186967577808,0.000182186967577811,0.000182186967577831,0.000182186967577839,0.000182186967577748,0.000182186967577754,0.856139608853805,0.142402895405573
"73","Socially Fair k-Means Clustering",12,0.000195655894099104,0.000195655894099194,0.00019565589409909,0.000195655894099119,0.000195655894099073,0.000195655894099067,0.000195655894099147,0.998239096953108,0.000195655894099095,0.000195655894099084
"74","Towards Cross-Lingual Generalization of Translation Gender Bias",13,0.000153929642866541,0.000153929642866584,0.00015392964286657,0.000153929642866495,0.000153929642866529,0.998614633214201,0.000153929642866542,0.000153929642866573,0.000153929642866586,0.000153929642866546
"75","A Pilot Study in Surveying Clinical Judgments to Evaluate Radiology Report Generation",14,0.000180120390172188,0.000180120390172166,0.0001801203901722,0.0001801203901722,0.00018012039017222,0.000180120390172203,0.99837891648845,0.000180120390172211,0.00018012039017213,0.000180120390172171
"76","Fairness Through Robustness: Investigating Robustness Disparity in Deep Learning",15,0.000114108464016574,0.998973023823851,0.000114108464016439,0.000114108464016576,0.000114108464016482,0.000114108464016554,0.000114108464016504,0.000114108464016499,0.000114108464016543,0.000114108464016527
"77","Operationalizing Framing to Support Multiperspective Recommendations of Opinion Pieces",16,0.161568031299757,0.000126872397506278,0.000126872397506212,0.000126872397506247,0.837416989520193,0.000126872397506284,0.000126872397506252,0.000126872397506226,0.000126872397506248,0.000126872397506224
"78","Bridging Machine Learning and Mechanism Design towards Algorithmic Fairness",17,0.000132151761397845,0.000132151761397828,0.000132151761397783,0.000132151761397808,0.000132151761397772,0.000132151761397847,0.000132151761397777,0.227856676281149,0.771086109627668,0.000132151761397785
"79","Fair Clustering via Equitable Group Representations",18,0.00012487690202297,0.000124876902022953,0.000124876902022939,0.000124876902022982,0.000124876902022968,0.199459912082278,0.799541072701538,0.000124876902023005,0.000124876902022955,0.000124876902022924
"80","You Can't Sit With Us: Exclusionary Pedagogy in AI Ethics Education",19,0.000141577808814221,0.000141577808814216,0.000141577808814234,0.000141577808814301,0.000141577808814218,0.000141577808814253,0.998725799720672,0.000141577808814204,0.000141577808814184,0.000141577808814222
"81","Fair Classification with Group-Dependent Label Noise",20,0.000151002077039717,0.0950582085625872,0.000151002077039704,0.903733774821096,0.000151002077039708,0.000151002077039661,0.000151002077039695,0.00015100207703964,0.000151002077039607,0.000151002077039608
"82","Censorship of Online Encyclopedias: Implications for NLP Models",21,0.000158540210941148,0.99857313810153,0.000158540210941208,0.000158540210941195,0.00015854021094115,0.000158540210941113,0.000158540210941142,0.000158540210941212,0.000158540210941141,0.000158540210941148
"83","Impossible Explanations?: Beyond explainable AI in the GDPR from a COVID-19 use case scenario",22,7.44946800407393e-05,7.44946800405117e-05,7.44946800405665e-05,7.44946800406708e-05,7.44946800406497e-05,0.134321805868575,7.44946800405548e-05,7.44946800405874e-05,0.8650822366911,7.44946800406408e-05
"84","Towards Accountability for Machine Learning Datasets: Practices from Software Engineering and Infrastructure",23,0.000144148240212221,0.000144148240212271,0.000144148240212277,0.000144148240212239,0.000144148240212248,0.000144148240212323,0.000144148240212218,0.000144148240212269,0.99870266583809,0.000144148240212218
"85","Fairness, Equality, and Power in Algorithmic Decision-Making",24,0.000188681368103337,0.000188681368103372,0.000188681368103408,0.0884007178020146,0.000188681368103388,0.000188681368103381,0.000188681368103361,0.00018868136810343,0.000188681368103356,0.910089831253158
"86","One Label, One Billion Faces: Usage and Consistency of Racial Categories in Computer Vision",25,9.49946803200987e-05,9.49946803201185e-05,9.49946803201327e-05,9.4994680320133e-05,0.999145047877119,9.49946803201749e-05,9.49946803201334e-05,9.49946803201159e-05,9.49946803201319e-05,9.49946803201288e-05
"87","Reviewable Automated Decision-Making: A Framework for Accountable Algorithmic Systems",26,0.000176124764537432,0.00017612476453753,0.000176124764537609,0.000176124764537469,0.00017612476453752,0.000176124764537549,0.615569075181212,0.000176124764537539,0.383021926702487,0.000176124764537499
"88","On the Dangers of Stochastic Parrots: Can Language Models Be Too Big? 🦜",27,0.998558748435518,0.000160139062720309,0.000160139062720306,0.000160139062720266,0.000160139062720252,0.000160139062720291,0.00016013906272031,0.000160139062720227,0.000160139062720297,0.000160139062720233
"89","Formalizing Trust in Artificial Intelligence: Prerequisites, Causes and Goals of Human Trust in AI",28,0.000153929642866536,0.000153929642866525,0.000153929642866581,0.998614633214201,0.000153929642866521,0.000153929642866563,0.00015392964286652,0.000153929642866554,0.000153929642866563,0.000153929642866524
"90","TILT: A GDPR-Aligned Transparency Information Language and Toolkit for Practical Privacy Engineering",29,0.000105049767857063,0.000105049767857097,0.999054552089287,0.0001050497678571,0.00010504976785707,0.000105049767857051,0.00010504976785708,0.000105049767857054,0.000105049767857042,0.000105049767857055
